DATE_TIME,TRANSFER_TYPE,TRANSFER_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,NUMBER_OF_PASSAGE,NUMBER_OF_PASSENGER
2022-04-09 09:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5892,1465
2022-04-19 02:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,32,5
2022-04-21 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,63840,14893
2022-04-14 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,24640,1755
2022-04-15 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,8498,607
2022-04-17 07:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,10598,756
2022-04-19 12:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,3934,268
2022-04-24 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,4298,274
2022-04-25 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,9440,2343
2022-04-01 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,93548,6193
2022-04-03 07:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,16786,1126
2022-04-05 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,24080,1704
2022-04-09 05:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,924,66
2022-04-11 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,35154,2368
2022-04-24 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,16842,1200
2022-04-25 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,3234,229
2022-04-01 08:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8124,2026
2022-04-02 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1832,457
2022-04-04 07:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4096,1019
2022-04-06 12:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,1460,340
2022-04-07 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1412,353
2022-04-11 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,168,33
2022-04-11 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,65324,4325
2022-04-15 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,51492,3663
2022-04-27 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,77560,5044
2022-04-11 09:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5536,1382
2022-04-12 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,572,142
2022-04-17 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,964,241
2022-04-21 02:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,16,4
2022-04-01 04:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,210,10
2022-04-07 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,140,9
2022-04-21 12:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,9828,656
2022-04-22 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,4900,350
2022-04-25 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,41174,2916
2022-04-27 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,89964,5882
2022-04-02 04:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,15000,3718
2022-04-08 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8684,2147
2022-04-14 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,25996,5715
2022-04-22 12:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8760,2173
2022-04-25 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7896,1964
2022-04-27 08:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7924,1976
2022-04-28 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1708,424
2022-04-08 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,27314,1940
2022-04-11 05:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,2072,143
2022-04-13 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,39550,2811
2022-04-17 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,476,33
2022-04-12 05:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,9916,2455
2022-04-14 10:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,27356,6065
2022-04-18 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5492,1366
2022-04-24 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,29628,6688
2022-04-23 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,102606,7227
2022-04-27 04:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,224,11
2022-04-04 03:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,40,10
2022-04-25 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,48,12
2022-04-28 04:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,9836,2440
2022-04-02 08:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,13972,996
2022-04-05 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,18158,1295
2022-04-08 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,39298,2789
2022-04-12 01:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,128156,8136
2022-04-10 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,18952,4701
2022-04-22 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,71224,16621
2022-04-30 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1664,415
2022-04-10 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,45934,3257
2022-04-15 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,26208,1872
2022-04-16 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,10570,752
2022-04-18 07:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,10402,742
2022-04-25 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,574,38
2022-04-20 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,9368,2313
2022-04-26 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,9428,2335
2022-04-02 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,73038,4681
2022-04-06 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,33894,2401
2022-04-12 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,50736,3372
2022-04-23 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,1596,114
2022-04-25 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,26278,1870
2022-04-26 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,3542,253
2022-04-02 08:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4176,1040
2022-04-03 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1488,369
2022-04-05 07:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4232,1052
2022-04-07 12:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,2160,502
2022-04-08 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1256,314
2022-04-12 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,76,19
2022-04-10 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,41216,2915
2022-04-12 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,108108,6818
2022-04-16 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,63700,4516
2022-04-28 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,68628,4523
2022-04-10 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,568,141
2022-04-12 09:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6688,1667
2022-04-13 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,936,233
2022-04-18 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5204,1299
2022-04-22 02:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,32,7
2022-04-30 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,43744,9768
2022-04-02 04:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,476,28
2022-04-08 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,56,4
2022-04-22 12:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,9912,675
2022-04-23 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,3038,217
2022-04-26 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,37170,2638
2022-04-28 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,87472,5657
2022-04-03 04:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,11228,2772
2022-04-09 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,20012,4972
2022-04-15 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,30412,6760
2022-04-23 12:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,19676,4855
2022-04-26 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8428,2092
2022-04-28 08:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7436,1855
2022-04-29 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1836,459
2022-04-09 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,51380,3647
2022-04-12 05:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,1778,123
2022-04-14 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,45738,3240
2022-04-18 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,56,3
2022-04-10 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,320,80
2022-04-13 05:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10360,2577
2022-04-15 10:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,31584,6861
2022-04-19 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6540,1622
2022-04-25 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,19780,4573
2022-04-24 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,60382,4281
2022-04-28 04:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,308,17
2022-04-30 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,52668,3391
2022-04-01 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,12020,2987
2022-04-05 03:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,12,2
2022-04-20 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5788,1447
2022-04-26 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,28,7
2022-04-29 04:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,11168,2774
2022-04-01 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,3500,247
2022-04-03 08:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,10570,751
2022-04-06 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,1204,86
2022-04-09 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,71974,5116
2022-04-10 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,1218,83
2022-04-30 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,72296,4583
2022-04-09 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,320,80
2022-04-11 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6840,1700
2022-04-23 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,96512,21098
2022-04-30 08:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4252,1061
2022-04-11 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,19726,1402
2022-04-16 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,16828,1199
2022-04-17 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,3178,225
2022-04-19 07:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,12740,907
2022-04-20 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,14,1
2022-04-26 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,546,37
2022-04-21 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8728,2171
2022-04-24 02:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,16,4
2022-04-27 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,9324,2317
2022-04-01 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,52346,3718
2022-04-03 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,36148,2292
2022-04-07 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,28182,1993
2022-04-13 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,63504,4173
2022-04-24 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,2464,173
2022-04-26 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,25242,1797
2022-04-27 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,3500,250
2022-04-03 08:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1860,465
2022-04-04 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,992,248
2022-04-08 12:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,1864,427
2022-04-09 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,868,217
2022-04-13 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,88,22
2022-04-11 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,23324,1650
2022-04-13 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,108934,6899
2022-04-14 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,56,4
2022-04-17 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,27986,1981
2022-04-29 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,68348,4491
2022-04-06 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,29896,6762
2022-04-11 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,336,84
2022-04-13 09:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6712,1678
2022-04-14 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,940,233
2022-04-19 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5032,1256
2022-04-23 02:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,192,46
2022-04-03 04:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,378,19
2022-04-09 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,686,45
2022-04-24 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,882,63
2022-04-27 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,38654,2744
