DATE_TIME,TRANSFER_TYPE,TRANSFER_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,NUMBER_OF_PASSAGE,NUMBER_OF_PASSENGER
2021-11-16 12:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7312,3641
2021-11-19 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5488,2726
2021-11-21 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10634,5284
2021-11-01 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,16121,2286
2021-11-05 05:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,980,140
2021-11-07 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,23758,3368
2021-11-20 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,10934,1553
2021-11-21 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,1456,208
2021-11-26 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,10451,1492
2021-11-03 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,952,476
2021-11-06 05:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10296,5085
2021-11-08 10:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,10278,4986
2021-11-18 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,6996,3430
2021-11-29 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,86,43
2021-11-11 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,18487,2622
2021-11-17 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,26320,3744
2021-11-23 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,20419,2884
2021-11-29 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,26719,3757
2021-11-13 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1702,848
2021-11-19 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8,4
2021-11-03 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,63,9
2021-11-06 01:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,4746,674
2021-11-21 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,34461,4881
2021-11-23 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,30849,4323
2021-11-27 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,33299,4723
2021-11-04 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6550,3246
2021-11-10 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,8518,4185
2021-11-16 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,30614,15019
2021-11-21 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6204,3076
2021-11-23 08:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4016,2007
2021-11-24 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,532,265
2021-11-29 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,906,453
2021-11-04 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,20755,2957
2021-11-09 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,13489,1925
2021-11-13 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,161,23
2021-11-19 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,196,25
2021-11-10 10:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,10540,5173
2021-11-14 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,12516,6217
2021-11-20 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,10298,5027
2021-11-26 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,16498,8069
2021-11-06 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,63364,8812
2021-11-17 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,161,23
2021-11-19 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,12593,1796
2021-11-29 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,49,7
2021-11-06 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,6,3
2021-11-01 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,11802,1684
2021-11-04 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,21826,3080
2021-11-06 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,2940,419
2021-11-04 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,96,48
2021-11-07 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,324,162
2021-11-16 02:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,10,5
2021-11-24 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,18480,9033
2021-11-11 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,14091,2008
2021-11-12 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,2541,362
2021-11-16 12:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,2037,288
2021-11-17 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,2856,408
2021-11-21 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,1477,208
2021-11-09 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,8814,4333
2021-11-17 12:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7202,3581
2021-11-22 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5872,2921
2021-11-02 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,19033,2699
2021-11-08 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,19964,2827
2021-11-14 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,75236,10460
2021-11-21 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,7896,1125
2021-11-22 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,966,134
2021-11-27 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,5775,825
2021-11-04 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,916,458
2021-11-07 05:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7328,3632
2021-11-09 10:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,10438,5105
2021-11-19 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,7296,3587
2021-11-12 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,22743,3221
2021-11-18 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,27489,3892
2021-11-24 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,28413,3993
2021-11-01 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,14698,7199
2021-11-12 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3920,1952
2021-11-14 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,542,271
2021-11-04 02:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,21,3
2021-11-22 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,20657,2918
2021-11-24 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,29519,4122
2021-11-28 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,30751,4359
2021-11-05 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3058,1524
2021-11-11 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,8704,4266
2021-11-17 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,31636,15546
2021-11-22 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5046,2505
2021-11-24 08:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3638,1818
2021-11-25 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,578,287
2021-11-05 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,17143,2434
2021-11-10 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,16968,2409
2021-11-14 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,308,44
2021-11-11 10:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,10690,5246
2021-11-15 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8022,3980
2021-11-21 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,8514,4185
2021-11-27 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,21646,10597
2021-11-07 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,28826,4023
2021-11-18 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,259,37
2021-11-20 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,38773,5494
2021-11-01 03:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,30,15
2021-11-07 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,258,125
2021-11-22 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10,5
2021-11-28 03:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2,1
2021-11-02 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,11578,1654
2021-11-05 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,10605,1511
2021-11-07 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,47705,6530
2021-11-30 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,14,2
2021-11-05 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,104,50
2021-11-07 09:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2006,994
2021-11-08 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,286,143
2021-11-25 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,22730,11081
2021-11-12 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,14161,2019
2021-11-13 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,3437,484
2021-11-18 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,3115,445
2021-11-22 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,175,21
