DATE_TIME,TRANSFER_TYPE,TRANSFER_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,NUMBER_OF_PASSAGE,NUMBER_OF_PASSENGER
2022-08-07 04:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,28,2
2022-08-14 12:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,141988,7951
2022-08-19 08:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,125272,8520
2022-08-04 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,11492,2849
2022-08-21 04:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,228,44
2022-08-24 03:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,44620,9054
2022-08-27 02:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,232,47
2022-08-01 06:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,43806,2998
2022-08-04 05:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,275492,17061
2022-08-25 07:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,32872,2328
2022-08-27 12:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,17892,1111
2022-08-29 09:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,104692,6736
2022-08-01 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,32580,6812
2022-08-02 06:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,13820,3425
2022-08-06 08:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,22884,5198
2022-08-07 10:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,20624,4276
2022-08-28 12:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,14344,3568
2022-08-05 01:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,42,3
2022-08-11 07:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,104454,7230
2022-08-14 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,284676,16331
2022-08-17 05:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,2548,169
2022-08-12 07:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,13496,3344
2022-08-14 12:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,8144,1709
2022-08-16 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,29272,6626
2022-08-17 11:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,9532,2103
2022-08-18 05:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,14220,3524
2022-08-02 02:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,142422,8264
2022-08-21 08:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,59066,3650
2022-08-22 10:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,50470,3044
2022-08-27 06:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,19488,1324
2022-08-01 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,78120,17053
2022-08-04 05:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,848,195
2022-08-07 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,75436,14874
2022-08-22 08:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6732,1665
2022-08-28 06:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,15544,3852
2022-08-08 08:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,22806,1620
2022-08-12 03:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,188790,10841
2022-08-18 01:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,135856,7917
2022-08-14 06:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,2716,611
2022-08-30 12:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,33956,8381
2022-08-02 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,1050,75
2022-08-08 10:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,31402,2222
2022-08-18 09:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,16954,1201
2022-08-22 04:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,202034,11935
2022-08-25 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,154,10
2022-08-28 02:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,194446,10988
2022-08-05 01:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,37052,7485
2022-08-18 01:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4,1
2022-08-20 05:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,17764,4406
2022-08-22 10:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,27412,5914
2022-08-24 07:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,33096,8016
2022-08-04 09:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,98224,6372
