saat,transfer_type,transfertipid,ulasimturu,line,passage,passanger
2021-06-16 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3152,1568
2021-06-22 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,20202,9950
2021-06-28 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,27588,13567
2021-06-02 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,18137,2566
2021-06-08 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,56063,7915
2021-06-13 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,56,8
2021-06-15 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,12733,1815
2021-06-16 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,203,29
2021-06-02 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,14,7
2021-06-26 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10632,5269
2021-06-30 11:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,948,465
2021-06-02 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,27216,3795
2021-06-03 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,49,7
2021-06-06 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,5915,832
2021-06-18 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,30366,4293
2021-06-29 11:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,21644,3068
2021-06-03 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,54,27
2021-06-06 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,402,196
2021-06-08 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3436,1714
2021-06-20 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,4082,1992
2021-06-13 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,273,39
2021-06-16 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,14224,2011
2021-06-18 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,28959,4076
2021-06-26 12:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,45325,6361
2021-06-28 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,36148,5114
2021-06-02 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,9798,4858
2021-06-05 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,21588,10664
2021-06-16 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3236,1602
2021-06-19 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,790,395
2021-06-30 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,27794,13660
2021-06-04 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,21658,3065
2021-06-08 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,7,1
2021-06-10 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,65240,9206
2021-06-21 10:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,17017,2419
2021-06-23 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,11872,1694
2021-06-29 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,35,5
2021-06-09 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7266,3600
2021-06-13 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,2688,1316
2021-06-15 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,5924,2938
2021-06-18 08:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,12950,6420
2021-06-26 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2,1
2021-06-14 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,17584,2494
2021-06-20 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,8393,1162
2021-06-26 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,102284,14373
2021-06-03 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,19998,9801
2021-06-10 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3384,1690
2021-06-16 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10,5
2021-06-28 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,12656,6251
2021-06-29 11:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,882,437
2021-06-24 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,26887,3802
2021-06-30 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,40635,5749
2021-06-01 02:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4830,2400
2021-06-13 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,3520,1713
2021-06-19 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,23424,11542
2021-06-26 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,830,414
2021-06-01 12:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,15309,2170
2021-06-06 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,994,141
2021-06-07 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,1043,146
2021-06-16 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,21,3
2021-06-11 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,7806,3863
2021-06-17 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5836,2894
2021-06-20 08:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,1458,707
2021-06-21 10:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,2304,1140
2021-06-23 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,16636,8215
2021-06-29 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,28016,13727
2021-06-03 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,17185,2436
2021-06-09 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,64911,9158
2021-06-14 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,35,5
2021-06-16 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,10745,1531
2021-06-17 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,315,45
2021-06-03 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,24,12
2021-06-30 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,11950,5890
2021-06-01 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,14630,2063
2021-06-03 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,29169,4075
2021-06-04 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,105,15
2021-06-07 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,21203,2996
2021-06-19 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,61754,8728
2021-06-04 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,42,21
2021-06-07 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5004,2488
2021-06-09 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3224,1612
2021-06-21 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,21882,10789
2021-06-27 02:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,3826,1859
2021-06-14 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,4263,609
2021-06-19 10:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,20965,2955
2021-06-27 12:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,9639,1326
2021-06-29 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,38983,5491
2021-06-03 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,9700,4795
2021-06-06 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,1900,915
2021-06-17 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4450,2207
2021-06-05 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,38052,5403
2021-06-09 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,98,14
2021-06-11 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,71400,10086
2021-06-17 05:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,83160,11682
2021-06-22 10:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,18116,2570
2021-06-24 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,11816,1688
2021-06-01 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1018,509
2021-06-14 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,9514,4685
2021-06-16 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,5922,2911
2021-06-19 08:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,6194,3059
2021-06-27 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2,1
2021-06-15 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,15771,2240
2021-06-21 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,39571,5572
