DATE_TIME,TRANSFER_TYPE,TRANSFER_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,NUMBER_OF_PASSAGE,NUMBER_OF_PASSENGER
2021-12-30 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,42,6
2021-12-11 12:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,1298,643
2021-12-14 11:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,1920,952
2021-12-15 05:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3610,1786
2021-12-17 10:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,7882,3859
2021-12-19 07:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,2022,968
2021-12-12 02:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,28,4
2021-12-20 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,13860,1967
2021-12-24 06:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,12005,1706
2021-12-01 05:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,228,114
2021-12-04 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,18992,9190
2021-12-07 03:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,14,7
2021-12-22 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2868,1433
2021-12-25 06:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6540,3257
2021-12-27 11:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,824,235
2021-12-05 08:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,8659,1227
2021-12-15 01:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,32746,4536
2021-12-30 05:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,16156,2281
2021-12-11 06:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,2002,985
2021-12-17 04:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,20,5
2021-12-05 10:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,12299,1748
2021-12-15 09:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,2408,341
2021-12-22 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,112,16
2021-12-25 02:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,83013,11452
2021-12-28 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,42,6
2021-12-02 01:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,16018,7805
2021-12-23 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4782,2359
2021-12-27 05:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,52,18
2021-12-01 09:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,35812,5057
2021-12-02 11:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,10745,1529
2021-12-07 07:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,58807,8300
2021-12-28 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,10290,1462
2021-12-02 09:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1114,552
2021-12-08 07:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2792,1388
2021-12-12 02:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,16284,7840
2021-12-15 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,24,10
2021-12-30 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10,5
2021-12-12 12:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,40194,5504
2021-12-13 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,13734,1947
2021-12-15 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,27692,3851
