DATE_TIME,TRANSFER_TYPE,TRANSFER_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,NUMBER_OF_PASSAGE,NUMBER_OF_PASSENGER
2022-07-21 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,44828,3179
2022-07-25 04:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,350,18
2022-07-02 03:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,116,21
2022-07-08 01:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,396,85
2022-07-20 06:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,13288,3290
2022-07-22 11:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,25804,5383
2022-07-26 04:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,12648,3133
2022-07-06 06:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,43008,3052
2022-07-08 11:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,92806,5651
2022-07-10 01:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,67970,3612
2022-07-08 09:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,6192,1544
2022-07-09 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2148,531
2022-07-12 04:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,192,31
2022-07-18 02:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,184,32
2022-07-10 09:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,62314,4264
2022-07-13 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,22442,1596
2022-07-14 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,8862,629
2022-07-16 07:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,42364,3004
2022-07-18 12:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,11270,696
