DATE_TIME,TRANSFER_TYPE,TRANSFER_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,NUMBER_OF_PASSAGE,NUMBER_OF_PASSENGER
2022-09-02 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,38448,7995
2022-09-08 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,83248,18281
2022-09-13 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,9968,2463
2022-09-16 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,2616,650
2022-09-01 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,40292,2835
2022-09-05 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,154,10
2022-09-13 05:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,235018,14934
2022-09-20 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,21728,1550
2022-09-26 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,56,4
2022-09-03 04:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8,2
2022-09-06 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,12980,3220
2022-09-10 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,45228,9331
2022-09-12 09:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,46456,10109
2022-09-15 08:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,35900,8713
2022-09-18 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,47776,10163
2022-09-23 12:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,124,31
2022-09-29 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,9704,2411
2022-09-09 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,1344,96
2022-09-11 02:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,70966,5030
2022-09-23 06:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,243880,15786
2022-09-29 04:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,212926,13389
2022-09-13 05:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,24,6
2022-09-25 09:00:00.000 AM,Normal,3,DENİZ,ŞEHİR_HATLARI,14572,3148
2022-09-26 11:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,6536,1497
2022-09-28 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,27512,6050
2022-09-21 03:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,44002,3116
2022-09-24 02:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,14,1
2022-09-27 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,37884,2689
2022-09-30 08:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,129500,8868
2022-09-01 01:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,16,4
2022-09-10 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,85960,18241
2022-09-16 04:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,58972,12876
2022-09-23 06:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1652,413
2022-09-29 04:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4,1
2022-09-01 11:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,33726,2396
2022-09-03 08:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,18452,1312
2022-09-04 10:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,7294,520
2022-09-09 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,5614,401
2022-09-13 01:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,616,34
2022-09-11 02:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,24,6
2022-09-14 01:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,12532,3114
2022-09-20 07:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,49564,11059
2022-09-26 05:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,72604,16249
2022-09-06 07:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,172732,10753
2022-09-11 12:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,2240,159
2022-09-13 09:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,25676,1827
2022-09-14 11:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,3290,234
2022-09-17 10:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,40614,2883
2022-09-19 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,22260,1584
2022-09-09 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,36968,7866
2022-09-21 03:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,4,1
2022-09-01 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,14,1
2022-09-04 04:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,61586,4375
2022-09-16 08:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,122010,7460
2022-09-27 11:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,34622,2457
2022-09-01 11:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,1096,274
2022-09-04 10:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,8460,2105
2022-09-06 07:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,5908,1476
2022-09-24 02:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,63356,13324
2022-09-11 06:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,924,66
2022-09-24 12:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,151018,8972
2022-09-26 09:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,59262,3742
2022-09-29 08:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,132538,9203
2022-09-03 08:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,45964,9556
2022-09-09 06:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,86348,18983
2022-09-14 11:00:00.000 AM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,10208,2531
2022-09-17 10:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,3172,787
2022-09-02 01:00:00.000 PM,Aktarma,3,DENİZ,MOTOR_TEKNE,46718,3313
2022-09-06 03:00:00.000 AM,Normal,3,DENİZ,MOTOR_TEKNE,154,5
2022-09-14 05:00:00.000 PM,Normal,3,DENİZ,MOTOR_TEKNE,257558,16401
2022-09-21 07:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,20860,1486
2022-09-27 05:00:00.000 AM,Aktarma,3,DENİZ,MOTOR_TEKNE,56,4
2022-09-07 03:00:00.000 PM,Aktarma,3,DENİZ,ŞEHİR_HATLARI,14976,3729
2022-09-11 12:00:00.000 PM,Normal,3,DENİZ,ŞEHİR_HATLARI,42120,8544
